level_0,index,rank,title,studio,total_gross,gross,theaters,release_date,year,genres
39,39,40,Bloodshot,Sony Pictures,"$12,561,824","$10,021,787","2,861",Mar 13,2020,"Action, Drama, Sci-Fi            "
40,40,41,I Still Believe,Lionsgate,"$9,868,521","$9,868,521","3,250",Mar 13,2020,"Biography, Drama, Music            "
41,41,42,Let Him Go,Focus Features,"$9,209,930","$9,209,930","2,458",Nov 6,2020,"Crime, Drama, Thriller            "
42,42,43,Come Play,Focus Features,"$9,209,835","$9,209,835","2,183",Oct 30,2020,"Drama, Horror, Mystery            "
43,43,44,Downhill,Searchlight Pictures,"$8,287,061","$8,287,061","2,311",Feb 14,2020,"Comedy, Drama            "
44,44,45,Freaky,Universal Pictures,"$8,233,080","$8,233,080","2,472",Nov 13,2020,"Comedy, Horror, Thriller            "
45,45,46,Weathering with You,GKIDS,"$7,798,743","$7,798,743","1,020",Jan 15,2020,"Animation, Drama, Fantasy            "
46,46,47,Cats,Universal Pictures,"$27,166,770","$7,196,675","3,380",Dec 20,2020,"Comedy, Drama, Family            "
47,47,48,The Hunt,Universal Pictures,"$5,812,500","$5,812,500","3,028",Mar 13,2020,"Action, Horror, Thriller            "
48,48,49,The Rhythm Section,Paramount Pictures,"$5,437,971","$5,437,971","3,049",Jan 31,2020,"Action, Drama, Mystery            "
49,49,50,A Beautiful Day in the Neighborhood,Sony Pictures,"$61,704,055","$4,997,062","3,491",Nov 22,2020,"Biography, Drama            "
50,51,52,Richard Jewell,Warner Bros.,"$22,345,542","$4,523,325","2,502",Dec 13,2020,"Biography, Crime, Drama            "
51,52,53,The SpongeBob Movie: Sponge on the Run,Paramount Pictures,"$4,810,790","$4,386,619",326,Aug 14,2020,"Animation, Adventure, Comedy            "
52,53,54,The Broken Hearts Gallery,TriStar Pictures,"$4,067,442","$4,067,442","2,221",Sep 11,2020,"Comedy, Romance            "
53,54,55,Infidel,Cloudburst Entertainment,"$4,051,990","$4,051,990","1,885",Sep 18,2020,"Action, Adventure, Thriller            "
54,55,56,Portrait of a Lady on Fire,Neon,"$3,759,854","$3,641,251",334,Dec 6,2020,"Drama, Romance            "
55,56,57,Bill & Ted Face the Music,United Artists Releasing,"$3,439,660","$3,498,714","1,007",Aug 28,2020,"Adventure, Comedy, Music            "
56,57,58,2020 Oscar Nominated Short Films,Magnolia Pictures,"$3,306,611","$3,306,611",536,Jan 31,2020,Drama            
57,58,59,Queen & Slim,Universal Pictures,"$43,808,310","$3,089,365","1,715",Nov 27,2020,"Action, Crime, Drama            "
58,59,60,The Empty Man,20th Century Studios,"$2,988,239","$2,988,239","2,051",Oct 23,2020,"Crime, Drama, Horror            "
59,60,61,My Boyfriend's Meds,Pantelion Films,"$2,971,116","$2,971,116",350,Feb 21,2020,Comedy            
60,61,62,The Last Full Measure,Roadside Attractions,"$2,949,212","$2,949,212",617,Jan 24,2020,"Drama, War            "
61,62,63,Words on Bathroom Walls,Roadside Attractions,"$2,542,518","$2,542,518","1,395",Aug 21,2020,"Drama, Romance            "
62,65,66,Ip Man 4: The Finale,Well Go USA Entertainment,"$3,956,031","$2,180,071",125,Dec 25,2020,"Action, Biography, Drama            "
63,66,67,The Personal History of David Copperfield,Searchlight Pictures,"$1,876,298","$1,876,298","1,550",Aug 28,2020,"Adventure, Drama, Romance            "
64,67,68,The Wretched,IFC Films,"$1,814,193","$1,812,696",101,May 1,2020,Horror            
65,68,69,The Lodge,Neon,"$2,138,907","$1,724,781",395,Feb 7,2020,"Drama, Horror, Thriller            "
66,69,70,Joker,Warner Bros.,"$335,451,311","$1,678,800","4,374",Oct 4,2020,"Crime, Drama, Thriller            "
67,70,71,The Rental,IFC Films,"$1,637,548","$1,627,911",250,Jul 24,2020,"Horror, Thriller            "
68,72,73,Once Upon a Time... In Hollywood,Sony Pictures,"$142,502,728","$1,425,760","3,659",Jul 26,2020,"Comedy, Drama            "
69,74,75,Half Brothers,Focus Features,"$1,386,550","$1,386,550","1,386",Dec 4,2020,"Comedy, Drama            "
70,75,76,2 Hearts,Freestyle Releasing,"$1,349,286","$1,349,286","1,683",Oct 16,2020,"Drama, Romance            "
71,76,77,True to the Game 2,Faith Media Distribution,"$1,200,871","$1,200,871",281,Nov 6,2020,Thriller            
72,77,78,Train to Busan Presents: Peninsula,Well Go USA Entertainment,"$1,231,407","$1,140,525",151,Aug 7,2020,"Action, Horror, Thriller            "
73,78,79,The Assistant,Bleecker Street Media,"$1,100,313","$1,100,313",25,Jan 31,2020,Drama            
74,79,80,Love and Monsters,Paramount Pictures,"$1,070,714","$1,070,714",387,Oct 16,2020,"Action, Adventure, Comedy            "
75,80,81,Relic,IFC Films,"$1,047,083","$1,046,653",133,Jul 3,2020,"Drama, Horror, Mystery            "
76,81,82,The Last Shift,Stage 6 Films,"$1,034,467","$1,034,467",886,Sep 25,2020,"Comedy, Drama            "
77,82,83,Becky,Quiver Distribution,"$1,004,574","$1,020,413",54,Jun 5,2020,"Action, Crime, Drama            "
78,83,84,The Song of Names,Sony Pictures,"$1,077,584","$983,357",182,Dec 25,2020,"Drama, Music, Mystery            "
79,84,85,The Tax Collector,RLJE Films,"$942,666","$942,666",138,Aug 7,2020,"Action, Crime, Drama            "
80,85,86,Mafia Inc,Entertainment One,"$889,863","$889,863",85,Feb 14,2020,"Crime, Drama            "
81,86,87,Jay and Silent Bob Reboot,Saban Films,"$4,589,490","$857,744",788,Oct 15,2020,"Adventure, Comedy            "
82,87,88,A Hidden Life,Fox Searchlight Pictures,"$1,730,597","$853,047",151,Dec 13,2020,"Biography, Drama, Romance            "
83,88,89,Cut Throat City,Well Go USA Entertainment,"$855,894","$845,837",389,Aug 21,2020,"Action, Crime, Drama            "
84,90,91,Sarileru Neekevvaru,Great India Films,"$821,000","$821,000",300,Jan 10,2020,"Action, Comedy, Drama            "
